Timestamp,ImageWidth,ImageHeight,NumAngles,NumDetectors,NormalisationTime,Type
2025-10-04 14:25:17,1024,1024,180,2897,5.847,Metal
2025-10-04 14:25:19,1024,1024,180,2897,4.105,Metal
2025-10-04 14:25:21,1024,1024,180,2897,5.52,Metal
2025-10-04 14:25:23,1024,1024,180,2897,4.974,Metal
2025-10-04 14:25:38,1024,1024,360,2897,5.35,Metal
2025-10-04 14:25:40,1024,1024,360,2897,4.353,Metal
2025-10-04 14:25:42,1024,1024,360,2897,5.33,Metal
2025-10-04 14:25:57,2048,2048,360,5793,7.839,Metal
2025-10-04 14:26:00,2048,2048,360,5793,5.346,Metal
2025-10-04 14:26:03,2048,2048,360,5793,9.357,Metal
2025-10-04 14:26:06,2048,2048,360,5793,4.892,Metal
2025-10-04 14:26:23,2048,2048,720,5793,6.958,Metal
2025-10-04 14:26:26,2048,2048,720,5793,5.405,Metal
2025-10-04 14:26:29,2048,2048,720,5793,8.291,Metal
2025-10-04 14:26:33,2048,2048,720,5793,6.724,Metal
2025-10-04 14:26:56,256,256,90,725,4.873,Metal
2025-10-04 14:26:57,256,256,90,725,4.298,Metal
2025-10-04 14:26:59,256,256,90,725,4.498,Metal
2025-10-04 14:27:00,256,256,90,725,6.396,Metal
2025-10-04 14:27:15,512,512,90,1449,4.647,Metal
2025-10-04 14:27:16,512,512,90,1449,4.861,Metal
2025-10-04 14:27:17,512,512,90,1449,4.258,Metal
2025-10-04 14:27:18,512,512,90,1449,5.225,Metal
2025-10-04 15:06:05,512,512,180,1449,8.897,Metal
2025-10-04 15:06:07,512,512,180,1449,5.477,Metal
2025-10-04 15:06:09,512,512,180,1449,4.246,Metal
2025-10-04 15:06:11,512,512,180,1449,7.638,Metal
2025-10-04 15:06:25,512,512,360,1449,5.841,Metal
2025-10-04 15:06:26,512,512,360,1449,5.036,Metal
2025-10-04 15:06:27,512,512,360,1449,4.821,Metal
2025-10-04 15:06:28,512,512,360,1449,4.756,Metal
2025-10-04 15:06:42,256,256,360,725,5.453,Metal
2025-10-04 15:06:43,256,256,360,725,5.422,Metal
2025-10-04 15:06:45,256,256,360,725,5.721,Metal
2025-10-04 15:06:58,256,256,180,725,4.689,Metal
2025-10-04 15:06:59,256,256,180,725,5.322,Metal
2025-10-04 15:07:00,256,256,180,725,5.168,Metal
2025-10-04 15:07:02,256,256,180,725,3.869,Metal
